Kappa file for Run 1 on 20200813 on sample T20-5d, HT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
11.378    2.52419e-07   3776.74    -91.1172    4.13134e-09
11.607    0   3756.67    0    4.07815e-09
11.6075    6.5994e-08   3735.77    -20.8989    4.07667e-09
11.608    1.32073e-07   3719.03    -37.6311    4.0729e-09
11.608    1.98157e-07   3689.48    -67.1816    4.07984e-09
11.608    2.64174e-07   3672.26    -84.4033    4.07698e-09
11.842    0   3652.67    0    3.99954e-09
11.8425    6.96634e-08   3630.67    -21.9965    3.99712e-09
11.843    1.39365e-07   3609.61    -43.0631    3.99794e-09
11.843    2.0906e-07   3587.41    -65.2613    3.99766e-09
11.843    2.78769e-07   3564.4    -88.2676    4.00004e-09
12.082    0   3554.52    0    3.94743e-09
12.0825    7.28088e-08   3532.22    -22.3085    3.94766e-09
12.083    1.45663e-07   3505.24    -49.2863    3.94617e-09
12.083    2.18476e-07   3492.77    -61.7505    3.94736e-09
12.083    2.91355e-07   3471.11    -83.4195    3.94838e-09
12.3265    0   3458.81    0    3.89736e-09
12.327    7.61635e-08   3440.58    -18.2362    3.8984e-09
12.3275    1.52424e-07   3419.15    -39.6581    3.89833e-09
12.328    2.28617e-07   3402.76    -56.0548    3.89838e-09
12.328    3.04875e-07   3383.14    -75.6749    3.89882e-09
12.576    0   3367.12    0    3.82494e-09
12.5765    8.0207e-08   3342.37    -24.7492    3.8282e-09
12.577    1.60491e-07   3329.05    -38.0698    3.82519e-09
12.577    2.40725e-07   3307.76    -59.3557    3.82774e-09
12.577    3.20955e-07   3287.73    -79.388    3.82453e-09
12.831    0   3276.86    0    3.77976e-09
12.8315    8.41026e-08   3257.53    -19.3309    3.78101e-09
12.832    1.6829e-07   3239.43    -37.4297    3.78322e-09
12.832    2.525e-07   3224.93    -51.9325    3.77791e-09
12.832    3.36638e-07   3203.39    -73.47    3.78076e-09
13.091    0   3191.87    0    3.71929e-09
13.0915    8.79335e-08   3168.04    -23.8252    3.72383e-09
13.092    1.75913e-07   3148.42    -43.4457    3.72059e-09
13.092    2.6391e-07   3138.41    -53.4627    3.71924e-09
13.092    3.51867e-07   3115.66    -76.2121    3.72257e-09
13.356    0   3107.79    0    3.6793e-09
13.3565    9.23061e-08   3097.52    -10.2694    3.67431e-09
13.357    1.84714e-07   3072.06    -35.7315    3.6766e-09
13.357    2.77097e-07   3061.42    -46.3772    3.6773e-09
13.357    3.69461e-07   3043.66    -64.137    3.67371e-09
13.6265    0   3030.59    0    3.63172e-09
13.627    9.6368e-08   3013.28    -17.3154    3.63002e-09
13.627    1.9287e-07   2992.7    -37.8888    3.63509e-09
13.627    2.89256e-07   2977.77    -52.8212    3.63241e-09
13.627    3.85705e-07   2962.69    -67.8995    3.63192e-09
13.9025    0   2951.56    0    3.59132e-09
13.903    9.97521e-08   2924.54    -27.017    3.59287e-09
13.903    1.99593e-07   2919.79    -31.7667    3.59032e-09
13.903    2.99404e-07   2896.97    -54.5931    3.59523e-09
13.903    3.9915e-07   2882.36    -69.201    3.59072e-09
14.184    0   2877.78    0    3.54544e-09
14.184    1.04151e-07   2860.19    -17.5977    3.54688e-09
14.1845    2.08363e-07   2839.85    -37.9382    3.54843e-09
14.185    3.12533e-07   2823.09    -54.6987    3.54913e-09
14.185    4.16751e-07   2812.03    -65.7569    3.54629e-09
14.4715    0   2807.51    0    3.48467e-09
14.472    1.09234e-07   2786.2    -21.3123    3.48827e-09
14.472    2.18571e-07   2772.03    -35.4799    3.48788e-09
14.472    3.27842e-07   2756.47    -51.0365    3.48861e-09
14.472    4.36642e-07   2743.04    -64.4696    3.48856e-09
14.7645    0   2731.71    0    3.45269e-09
14.765    1.14315e-07   2718.53    -13.1825    3.45113e-09
14.765    2.28583e-07   2699.81    -31.9082    3.45164e-09
14.765    3.4292e-07   2680.62    -51.0958    3.45377e-09
14.765    4.56584e-07   2669.1    -62.6164    3.45145e-09
15.0635    0   2657.85    0    3.41168e-09
15.064    1.19073e-07   2649.71    -8.13837    3.41367e-09
15.064    2.38152e-07   2636.21    -21.6429    3.40821e-09
15.064    3.57325e-07   2623.27    -34.583    3.41282e-09
15.064    4.75181e-07   2607.15    -50.7065    3.41187e-09
15.369    0   2599.37    0    3.37043e-09
15.369    1.25427e-07   2581.19    -18.1763    3.37605e-09
15.369    2.50953e-07   2570.03    -29.3419    3.37487e-09
15.369    3.76458e-07   2550.77    -48.6042    3.37555e-09
15.369    5.00531e-07   2545.93    -53.4408    3.375e-09
15.68    0   2535.43    0    3.31591e-09
15.68    1.29776e-07   2521.28    -14.1451    3.31894e-09
15.68    2.59661e-07   2506.89    -28.5395    3.31865e-09
15.68    3.89402e-07   2494.03    -41.403    3.31713e-09
15.68    5.18663e-07   2478.61    -56.8203    3.31648e-09
15.998    0   2473.7    0    3.28313e-09
15.998    1.35527e-07   2456.55    -17.1529    3.28387e-09
15.9975    2.71083e-07   2442.22    -31.4876    3.28349e-09
15.9975    4.06641e-07   2433.92    -39.7814    3.2841e-09
15.9975    5.40905e-07   2423.92    -49.782    3.28105e-09
16.322    0   2417.1    0    3.24811e-09
16.322    1.42133e-07   2402.44    -14.6608    3.24619e-09
16.322    2.84269e-07   2393.45    -23.6481    3.24574e-09
16.3215    4.2641e-07   2375.34    -41.7559    3.24711e-09
16.321    5.6757e-07   2365.14    -51.957    3.24748e-09
16.653    0   2358.33    0    3.21212e-09
16.653    1.47921e-07   2347.61    -10.7237    3.21327e-09
16.6525    2.95834e-07   2335.38    -22.9529    3.21404e-09
16.652    4.43263e-07   2323.19    -35.1432    3.21304e-09
16.652    5.90484e-07   2309.28    -49.0473    3.21214e-09
16.99    0   2310.66    0    3.1848e-09
16.99    1.54767e-07   2292.81    -17.8555    3.18496e-09
16.9895    3.0961e-07   2278.08    -32.5829    3.1836e-09
16.989    4.63536e-07   2269.77    -40.8955    3.18579e-09
16.989    6.18303e-07   2253.17    -57.491    3.18251e-09
17.334    0   2256.2    0    3.15453e-09
17.334    1.61327e-07   2242.2    -13.997    3.15806e-09
17.3335    3.22779e-07   2233.75    -22.446    3.15534e-09
17.333    4.83638e-07   2218.11    -38.0907    3.15415e-09
17.333    6.44569e-07   2211.12    -45.0739    3.14919e-09
17.6855    0   2206.74    0    3.12328e-09
17.685    1.68142e-07   2198.31    -8.42224    3.12433e-09
17.6845    3.36391e-07   2187.97    -18.7633    3.12572e-09
17.684    5.03072e-07   2180.24    -26.5009    3.12592e-09
17.684    6.71576e-07   2163.84    -42.8968    3.12408e-09
18.0445    0   2159.52    0    3.10301e-09
18.0435    1.75628e-07   2147.02    -12.5003    3.10535e-09
18.0425    3.51296e-07   2138.35    -21.169    3.10181e-09
18.042    5.2611e-07   2131.56    -27.9593    3.09996e-09
18.042    7.01497e-07   2115.93    -43.5858    3.1043e-09
18.4095    0   2120.09    0    3.06426e-09
18.409    1.835e-07   2104.06    -16.0317    3.06895e-09
18.4085    3.67013e-07   2094.5    -25.586    3.06756e-09
18.4075    5.50085e-07   2077.1    -42.9874    3.0693e-09
18.407    7.32681e-07   2066.62    -53.4674    3.06721e-09
18.7825    0   2064.82    0    3.05003e-09
18.782    1.90468e-07   2055.26    -9.55931    3.04634e-09
18.781    3.80919e-07   2043.13    -21.69    3.04643e-09
18.78    5.70355e-07   2029.89    -34.9288    3.04943e-09
18.78    7.60864e-07   2018.09    -46.7255    3.04768e-09
19.1635    0   2018.49    0    3.02726e-09
19.1625    1.98818e-07   1998.42    -20.0669    3.02776e-09
19.1615    3.97766e-07   1992.87    -25.6175    3.02716e-09
19.1605    5.95584e-07   1980.36    -38.1348    3.02976e-09
19.16    7.93633e-07   1974.15    -44.3361    3.03016e-09
19.5515    0   1971.51    0    3.00924e-09
19.5505    2.064e-07   1958.68    -12.8338    3.00879e-09
19.5495    4.12928e-07   1950.53    -20.9789    3.00674e-09
19.5485    6.18501e-07   1936.78    -34.7304    3.01208e-09
19.5475    8.25155e-07   1924.92    -46.5938    3.00909e-09
19.9485    0   1922.38    0    2.99356e-09
19.947    2.15155e-07   1913.5    -8.87681    2.99386e-09
19.9455    4.30328e-07   1900.94    -21.4347    2.98996e-09
19.9445    6.44702e-07   1890.49    -31.8857    2.9971e-09
19.944    8.59291e-07   1886.59    -35.7871    2.99071e-09
20.3525    0   1880.32    0    2.96864e-09
20.351    2.23743e-07   1860.41    -19.9061    2.97044e-09
20.349    4.46411e-07   1856    -24.3181    2.97279e-09
20.348    6.69787e-07   1849.97    -30.3497    2.96964e-09
20.348    8.93571e-07   1834.43    -45.8924    2.97109e-09
20.7655    0   1824.46    0    2.9621e-09
20.764    2.33224e-07   1819.84    -4.62639    2.9629e-09
20.762    4.65918e-07   1800.72    -23.7443    2.9659e-09
20.7605    6.98991e-07   1796.17    -28.298    2.9666e-09
20.7595    9.31499e-07   1790.16    -34.3043    2.9651e-09
21.1865    0   1783.05    0    2.93359e-09
21.1845    2.411e-07   1777.62    -5.43436    2.94073e-09
21.182    4.81758e-07   1763.64    -19.4077    2.93554e-09
21.1805    7.21981e-07   1753.89    -29.1663    2.93334e-09
21.1795    9.63348e-07   1749.15    -33.9033    2.931e-09
21.616    0   1745.27    0    2.91058e-09
21.6135    2.51249e-07   1730.73    -14.5404    2.91307e-09
21.611    5.01138e-07   1725.73    -19.5408    2.90543e-09
21.61    7.52767e-07   1719.47    -25.8037    2.90933e-09
21.609    1.00324e-06   1709.88    -35.3945    2.91102e-09
22.054    0   1697.51    0    2.88511e-09
22.0515    2.61222e-07   1699.75    2.23721    2.88117e-09
22.049    5.21828e-07   1686.31    -11.1947    2.88306e-09
22.0475    7.82317e-07   1677.24    -20.268    2.88212e-09
22.0465    1.04337e-06   1664.96    -32.5512    2.88581e-09
22.503    0   1660.46    0    2.8575e-09
22.4995    2.70135e-07   1651.7    -8.75798    2.856e-09
22.496    5.39192e-07   1653.46    -6.99462    2.86369e-09
22.4945    8.09048e-07   1640.37    -20.0896    2.86369e-09
22.4935    1.0801e-06   1633.97    -26.489    2.85915e-09
22.9595    0   1626.78    0    2.83858e-09
22.9555    2.82167e-07   1626.37    -0.418173    2.83223e-09
22.9515    5.6355e-07   1614.93    -11.8503    2.83448e-09
22.9495    8.45146e-07   1600.86    -25.9226    2.83613e-09
22.949    1.12677e-06   1596.15    -30.6357    2.83338e-09
23.425    0   1594.38    0    2.80657e-09
23.4205    2.93332e-07   1591.76    -2.62695    2.80822e-09
23.4165    5.8602e-07   1577.3    -17.0877    2.81067e-09
23.4145    8.78802e-07   1565.89    -28.4901    2.81181e-09
23.413    1.17216e-06   1563.79    -30.5972    2.80857e-09
23.9    0   1565.24    0    2.78136e-09
23.8955    3.03921e-07   1552.98    -12.2603    2.7848e-09
23.8915    6.06908e-07   1539.39    -25.8503    2.78535e-09
23.889    9.1051e-07   1541.71    -23.5375    2.78555e-09
23.887    1.2152e-06   1524.82    -40.4258    2.78525e-09
24.3815    0   1532.04    0    2.7514e-09
24.3775    3.1699e-07   1523.48    -8.56019    2.75619e-09
24.374    6.32987e-07   1516.79    -15.2502    2.75714e-09
24.372    9.49175e-07   1513.49    -18.5528    2.75325e-09
24.371    1.26711e-06   1504.96    -27.0808    2.75489e-09
24.873    0   1499.88    0    2.72688e-09
24.87    3.27087e-07   1492.68    -7.20051    2.72848e-09
24.8665    6.53835e-07   1485.54    -14.3393    2.72678e-09
24.8645    9.8086e-07   1477.85    -22.027    2.72523e-09
24.8635    1.30646e-06   1472.51    -27.3744    2.72953e-09
25.3785    0   1471.76    0    2.7146e-09
25.3745    3.39683e-07   1456.32    -15.4484    2.7149e-09
25.371    6.78603e-07   1463.84    -7.92289    2.71375e-09
25.369    1.01795e-06   1446.93    -24.8351    2.7161e-09
25.367    1.3584e-06   1445.27    -26.4891    2.71315e-09
25.8895    0   1442.98    0    2.68924e-09
25.886    3.51883e-07   1430.56    -12.4172    2.68933e-09
25.883    7.03296e-07   1432.92    -10.055    2.69118e-09
25.881    1.05495e-06   1429.02    -13.9583    2.68839e-09
25.88    1.40639e-06   1418.69    -24.2804    2.68839e-09
26.414    0   1414.18    0    2.66302e-09
26.411    3.65859e-07   1415.06    0.879578    2.66437e-09
26.4075    7.30027e-07   1404.89    -9.28996    2.66622e-09
26.4055    1.09672e-06   1403.59    -10.5885    2.66762e-09
26.4045    1.46236e-06   1386.82    -27.3594    2.66707e-09
26.95    0   1393.68    0    2.65753e-09
26.946    3.76445e-07   1382.9    -10.7771    2.65383e-09
26.9425    7.52081e-07   1380.18    -13.5006    2.65853e-09
26.94    1.12843e-06   1379.58    -14.1041    2.65788e-09
26.939    1.50392e-06   1365.19    -28.4868    2.65768e-09
27.4935    0   1377.72    0    2.64095e-09
27.4895    3.89156e-07   1362.13    -15.5917    2.63576e-09
27.4865    7.76617e-07   1351.16    -26.5671    2.63756e-09
27.485    1.16732e-06   1351.13    -26.5898    2.64759e-09
27.484    1.55645e-06   1342.23    -35.4966    2.6402e-09
28.0495    0   1335.39    0    2.61534e-09
28.046    4.03017e-07   1327.95    -7.44063    2.61399e-09
28.043    8.05256e-07   1320.48    -14.9098    2.62253e-09
28.041    1.20814e-06   1331.4    -3.99109    2.61848e-09
28.04    1.61155e-06   1319.77    -15.6235    2.61788e-09
28.616    0   1330.49    0    1.59377e-08
28.613    4.16996e-07   1324.29    -6.19785    1.59442e-08
28.61    8.32946e-07   1319.3    -11.1853    1.59334e-08
28.609    1.24963e-06   1314.43    -16.0609    1.59333e-08
28.6085    1.66741e-06   1309.48    -21.0094    1.59328e-08
29.1965    0   1289.06    0    2.61993e-09
29.1925    4.31983e-07   1290.7    1.64252    2.62338e-09
29.1895    8.63324e-07   1288.67    -0.391407    2.61724e-09
29.1885    1.29473e-06   1285.63    -3.43502    2.60885e-09
29.1875    1.72788e-06   1268.18    -20.8796    2.62088e-09
29.7885    0   1273.96    0    2.61194e-09
29.7845    4.46822e-07   1270.65    -3.30864    2.61284e-09
29.781    8.95101e-07   1267.46    -6.49896    2.61035e-09
29.7795    1.34383e-06   1252.94    -21.0108    2.61524e-09
29.7785    1.79126e-06   1263.03    -10.9278    2.6102e-09
30.392    0   1254.62    0    2.61134e-09
30.3875    4.61859e-07   1255.1    0.478168    2.61174e-09
30.3835    9.23851e-07   1251.75    -2.87208    2.61594e-09
30.3815    1.38498e-06   1243.29    -11.3276    2.61664e-09
30.381    1.84943e-06   1231.92    -22.6994    2.61319e-09
31.0045    0   1246.84    0    1.59398e-08
31.001    4.76296e-07   1241.24    -5.60215    1.59413e-08
30.998    9.53483e-07   1236.41    -10.4331    1.59405e-08
30.9965    1.43145e-06   1231.76    -15.0884    1.59364e-08
30.996    1.90718e-06   1227.16    -19.6816    1.59359e-08
31.634    0   1223.22    0    2.61174e-09
31.6295    4.90007e-07   1213.55    -9.67046    2.61484e-09
31.6255    9.80219e-07   1206.54    -16.6878    2.61264e-09
31.6235    1.46988e-06   1204.37    -18.8512    2.61339e-09
31.6225    1.96212e-06   1201.59    -21.6369    2.61154e-09
32.276    0   1194.47    0    2.6087e-09
32.271    5.09438e-07   1192.79    -1.67908    2.60755e-09
32.2665    1.02031e-06   1184.73    -9.73692    2.60925e-09
32.2645    1.53061e-06   1185.21    -9.25786    2.60925e-09
32.264    2.04242e-06   1179.01    -15.4508    2.6062e-09
32.927    0   1194.32    0    1.59304e-08
32.923    5.26912e-07   1187.59    -6.73432    1.59289e-08
32.9195    1.05535e-06   1183.66    -10.6597    1.59286e-08
32.918    1.58487e-06   1178.08    -16.2379    1.59263e-08
32.9175    2.11233e-06   1176.69    -17.6339    1.59282e-08
33.594    0   1164.21    0    2.60091e-09
33.5895    5.44356e-07   1170.88    6.67165    2.59676e-09
33.5855    1.09052e-06   1157.89    -6.31511    2.60171e-09
33.5845    1.63717e-06   1164.25    0.0379812    2.60061e-09
33.584    2.18237e-06   1148.11    -16.1005    2.60211e-09
34.273    0   1160.23    0    1.59298e-08
34.2685    5.64139e-07   1157.6    -2.63478    1.59255e-08
34.265    1.12949e-06   1151.23    -9.00284    1.59276e-08
34.2635    1.69472e-06   1149.74    -10.493    1.59301e-08
34.263    2.2615e-06   1144.74    -15.4939    1.59292e-08
34.9685    0   1138.24    0    2.6104e-09
34.964    5.77248e-07   1126.07    -12.1629    2.6104e-09
34.9595    1.15561e-06   1124.22    -14.0198    2.61159e-09
34.958    1.73484e-06   1121.77    -16.471    2.60995e-09
34.958    2.31415e-06   1116.56    -21.6786    2.61204e-09
35.6995    0   1120.97    0    2.608e-09
35.6885    5.97972e-07   1120    -0.97247    2.60915e-09
35.676    1.19645e-06   1105.5    -15.4782    2.61104e-09
35.6695    1.7973e-06   1106.93    -14.0489    2.6079e-09
35.667    2.39704e-06   1105.68    -15.2903    2.6097e-09
36.4155    0   1099.73    0    2.61428e-09
36.4085    6.18975e-07   1095.76    -3.96914    2.61074e-09
36.399    1.23793e-06   1101.46    1.73415    2.60835e-09
36.3925    1.85858e-06   1091.23    -8.49802    2.6099e-09
36.389    2.47878e-06   1091.36    -8.37274    2.6096e-09
37.1435    0   1086.29    0    2.61164e-09
37.141    6.35185e-07   1090.44    4.15109    2.6095e-09
