Kappa file for Run 4 on 20200812 on sample T20-5d, LT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
9.03235    0   1251.03    0    1.55312e-08
9.033    3.56538e-08   1244.3    -6.73136    1.55317e-08
9.0336    7.1351e-08   1237.94    -13.0861    1.55308e-08
9.03385    1.07029e-07   1231.99    -19.034    1.55295e-08
9.03395    1.42747e-07   1226.57    -24.4589    1.55297e-08
9.2153    0   1223.29    0    2.54757e-09
9.2159    3.74911e-08   1215.56    -7.73048    2.54498e-09
9.2164    7.50252e-08   1209    -14.2952    2.54569e-09
9.2166    1.12579e-07   1202.45    -20.8435    2.54934e-09
9.2168    1.50098e-07   1196.53    -26.76    2.5458e-09
9.40195    0   1194.88    0    1.55303e-08
9.4025    3.95356e-08   1189.12    -5.76434    1.55313e-08
9.403    7.9058e-08   1183.51    -11.3703    1.55294e-08
9.40325    1.18675e-07   1178.25    -16.6364    1.55294e-08
9.4034    1.58222e-07   1171.48    -23.4069    1.55385e-08
9.59225    0   1167.76    0    2.54611e-09
9.59285    4.15425e-08   1161.43    -6.32988    2.54855e-09
9.59335    8.30967e-08   1157.05    -10.7091    2.54804e-09
9.5936    1.24692e-07   1149.94    -17.8191    2.54714e-09
9.59375    1.6631e-07   1146.73    -21.0329    2.54787e-09
9.7864    0   1140.11    0    2.54923e-09
9.787    4.37737e-08   1134.16    -5.95349    2.54815e-09
9.7876    8.75774e-08   1129.09    -11.0181    2.54984e-09
9.78785    1.31384e-07   1123.99    -16.1227    2.55197e-09
9.788    1.75175e-07   1121.68    -18.4313    2.55011e-09
9.9847    0   1116.94    0    1.55296e-08
9.98535    4.59565e-08   1112.81    -4.13545    1.55265e-08
9.98585    9.1951e-08   1107.88    -9.05912    1.55288e-08
9.9861    1.3801e-07   1104.03    -12.9169    1.55278e-08
9.98625    1.83976e-07   1099.81    -17.1305    1.55269e-08
10.187    0   1093.17    0    2.54635e-09
10.1875    4.83684e-08   1086.34    -6.83473    2.54874e-09
10.188    9.67181e-08   1087.17    -6.00192    2.5469e-09
10.188    1.45132e-07   1084.9    -8.27695    2.54941e-09
10.188    1.93554e-07   1080.8    -12.3756    2.54839e-09
10.393    0   1074.51    0    2.54861e-09
10.3935    5.08165e-08   1072.13    -2.37809    2.54848e-09
10.394    1.01686e-07   1071.05    -3.45495    2.54768e-09
10.3945    1.52599e-07   1063.75    -10.7613    2.5504e-09
10.395    2.0342e-07   1063.34    -11.1684    2.54754e-09
10.6035    0   1060.34    0    2.54643e-09
10.6045    5.34455e-08   1052.81    -7.53213    2.54866e-09
10.605    1.06914e-07   1052.45    -7.88759    2.54506e-09
10.605    1.60441e-07   1048.36    -11.9761    2.54571e-09
10.605    2.13938e-07   1044.04    -16.3004    2.54356e-09
10.8185    0   1040.14    0    2.5471e-09
10.819    5.61313e-08   1038    -2.14161    2.54655e-09
10.8195    1.12266e-07   1034.49    -5.64934    2.54663e-09
10.82    1.68467e-07   1031.74    -8.40242    2.54585e-09
10.82    2.24696e-07   1029.15    -10.9874    2.54498e-09
11.0375    0   1026.1    0    2.54645e-09
11.038    5.88101e-08   1022.91    -3.19345    2.54724e-09
11.0385    1.17655e-07   1019.69    -6.41553    2.5471e-09
11.039    1.76517e-07   1019.14    -6.96387    2.54663e-09
11.039    2.35336e-07   1011.12    -14.9812    2.55046e-09
11.261    0   1013.13    0    1.5533e-08
11.2615    6.17159e-08   1010.37    -2.76119    1.55285e-08
11.262    1.2347e-07   1008.34    -4.78501    1.55294e-08
11.262    1.85209e-07   1005.56    -7.56785    1.55284e-08
11.262    2.46958e-07   1002.89    -10.2416    1.55308e-08
11.489    0   997.757    0    2.55661e-09
11.4895    6.4859e-08   996.901    -0.855603    2.54607e-09
11.49    1.2971e-07   996.397    -1.35954    2.54745e-09
11.49    1.9465e-07   982.168    -15.5885    2.54783e-09
11.49    2.59555e-07   991.564    -6.19263    2.54673e-09
11.7215    0   987.277    0    2.54832e-09
11.722    6.78471e-08   982.887    -4.39039    2.54734e-09
11.7225    1.35776e-07   980.845    -6.43238    2.54872e-09
11.723    2.03642e-07   982.752    -4.52528    2.54635e-09
11.723    2.7151e-07   979.668    -7.60897    2.54533e-09
11.959    0   978.643    0    1.55275e-08
11.9595    7.15065e-08   976.117    -2.52625    1.55286e-08
11.96    1.4307e-07   973.668    -4.97471    1.55337e-08
11.96    2.14638e-07   972.455    -6.18808    1.55268e-08
11.96    2.86228e-07   969.759    -8.88438    1.55312e-08
